Material;PartNumber;Description;Description (DE);Devision;Hierarchie;Vendor part no;Return code;Repair code;ListPrice;Currency;Credit Price;Substitute material;Alternative Part;Central/Local;Main alternative par;End of service;Commodity code;ALNR;ECCN;Country of origin;RoHS Kz;Dangerous goods;Hazardous material n;Article number batte;Article number batte;External packaging;Internal packaging;ESD bag;Gross weight;Net weight;Weight unit;Volume;Volume unit;Length;Width;Height;Length unit
000000000088038186;CFO:AD-005-E-ROHS;DVI-VGA ADAPTER;DVI-VGA ADAPTER;47;HC01-;CFO:AD-005-E-ROHS;NV;;13.50;EUR;0.00;;000000000038059773;C;000000000088038186;20260429;85366990990;N;N;CHN;60 ROHS2 COMPLIANT;;;;;F84-F7081;;;0.150;0.035;KG;0;CDM;21.500;34;0;CM
000000000088036243;FUJ:CP232991-XX;RUBBER FOOT, ROUND;RUBBER FOOT, ROUND;41;HB02-;FUJ:CP232991-XX;NV;;7.34;EUR;0.00;;;C;;20280731;40169997900;N;N;JPN;00 NOT CHECKED;;;;;F84-F7081;;;0.040;0.010;KG;0;CDM;21.500;34;0;CM
000000000088035693;V26898-B540-V8;-BT-BATTERY (CR2450);-BT-BATTERY (CR2450);46;HT07-;V26898-B540-V8;NV;;19.97;EUR;0.00;;;C;;99991231;85065030000;N;EAR99H;TAI;90 NOT APPLICABLE;;;271;;F26084-V147-A1;;;0.095;0.010;KG;0.218;CDM;14.500;10;1.500;CM
000000000088035220;FUJ:CA82002-1123;SCREW M2XL3 (ROHS);SCREW M2XL3 (ROHS);41;HB12-;FUJ:CA82002-1123;NV;;7.09;EUR;0.00;;;C;;20290430;73181558900;N;N;JPN;00 NOT CHECKED;;;;;F84-F7081;;;0.040;0.002;KG;0;CDM;21.500;34;0;CM
000000000088035057;FUJ:CA82002-1124;SCREW, M2XL4;SCREW, M2XL4;41;HB12-;FUJ:CA82002-1124;NV;;6.11;EUR;0.00;;;C;;20290430;73181558900;N;N;JPN;00 NOT CHECKED;;;;;F84-F7081;;;0.015;0.002;KG;0;CDM;21.500;34;0;CM
000000000088034490;FUJ:CA82001-0209;SCREW, M2.5XL5;SCREW, M2.5XL5;41;HB12-;FUJ:CA82001-0209;NV;;10.11;EUR;0.00;;;C;;20290430;73181558900;N;N;JPN;00 NOT CHECKED;;;;;F84-F7081;;;0.115;0.002;KG;0;CDM;21.500;34;0;CM
000000000088033855;FUJ:CA82002-4181;SCREW M2XL5.5;SCREW M2XL5.5;41;HB12-;FUJ:CA82002-4181;NV;;6.11;EUR;0.00;;;C;;20290430;73181558900;N;N;JPN;00 NOT CHECKED;;;;;F84-F7081;;;0.015;0.002;KG;0;CDM;21.500;34;0;CM
000000000088031115;FUJ:CA82002-4180;SCREW M2XL3.5;SCREW M2XL3.5;41;HB12-;FUJ:CA82002-4180;NV;;5.72;EUR;0.00;;;C;;20290430;73181558900;N;N;JPN;10 VIOLATED;;;;;F84-F7081;;;0.005;0.002;KG;0;CDM;21.500;34;0;CM
000000000088030557;FUJ:CA82002-4191;SCREW M2.5XL8;SCREW M2.5XL8;41;HB12-;FUJ:CA82002-4191;NV;;6.80;EUR;0.00;;;C;;20280731;73181558900;N;N;JPN;10 VIOLATED;;;;;NO PACKAGE;;;0.011;0.010;KG;0;CDM;0;0;0;CM
000000000088006366;FUJ:CP135670-XX;PEN TETHER;PEN TETHER;41;HV98-;FUJ:CP135670-XX;NV;;9.01;EUR;0.00;;;C;;20290430;63079098990;N;EAR99H;JPN;00 NOT CHECKED;;;;;F84-F7081;;;0.015;0.002;KG;0;CDM;21.500;34;0;CM
