,SPL Master,Items linked
0,SPL8000000,34076947;38049457
1,SPL8000001,2092650
2,SPL8000002,38065840
3,SPL8000003,34005854
4,SPL8000004,34006515;81796720
5,SPL8000005,34007010
6,SPL8000006,34010186;38039523;38046562
7,SPL8000007,34010568
8,SPL8000008,34011106;34083061
9,SPL8000009,34011704
10,SPL8000010,34011711
11,SPL8000011,34012239
12,SPL8000012,34012681
13,SPL8000013,34012682
14,SPL8000014,34012683
15,SPL8000015,34013662;38044319
16,SPL8000016,34013671;34045312
17,SPL8000017,34013708
18,SPL8000018,34014096;38062264;38063758;38066779
19,SPL8000019,34015217
20,SPL8000020,34015919
21,SPL8000021,34016073
22,SPL8000022,34016459;34030765;38041627
23,SPL8000023,34023337
24,SPL8000024,34023509
25,SPL8000025,34024334
26,SPL8000026,34024908
27,SPL8000027,34024909;38064390
28,SPL8000028,34025611;34044881;38016428;38017163
29,SPL8000029,34025769
30,SPL8000030,34025921
31,SPL8000031,34027932;34032335;34038581;34042456;38038318;38044083
32,SPL8000032,34028091;38010058;38016282;38017709;38018201;38019332;38035470;38039495;38040582;38049040
33,SPL8000033,34028416
34,SPL8000034,34028628
35,SPL8000035,34029392
36,SPL8000036,34029439
37,SPL8000037,34029453
38,SPL8000038,34030180
39,SPL8000039,34030225
40,SPL8000040,34030949
41,SPL8000041,34031591;34039775
42,SPL8000042,34031602
43,SPL8000043,34031603
44,SPL8000044,34031967
45,SPL8000045,34032005;38041004
46,SPL8000046,34032006
47,SPL8000047,34032008
48,SPL8000048,34032009
49,SPL8000049,34032010;34041907
50,SPL8000050,34032019;34042485
51,SPL8000051,34032033
52,SPL8000052,34032034
53,SPL8000053,34032037
54,SPL8000054,34032044
55,SPL8000055,34032045
56,SPL8000056,34032616;38019814;38040146;38049211;38049212;38062641;38063069;38065159
57,SPL8000057,34032617
58,SPL8000058,34032635
59,SPL8000059,34032639
60,SPL8000060,34032640
61,SPL8000061,34032656;34033491;34034550;34038818;38047515;38048237;38049157;38063074
62,SPL8000062,34032859
63,SPL8000063,34032864
64,SPL8000064,34032866
65,SPL8000065,34032949
66,SPL8000066,34032954
67,SPL8000067,34032963
